Criterion ID,Category
"13548,""/Arts & Entertainment/Music & Audio/Religious Music/Christian & Gospel Music"""
"13549,""/Arts & Entertainment/Music & Audio/Rock Music"""
"13550,""/Arts & Entertainment/Music & Audio/Rock Music/Classic Rock & Oldies"""
"13551,""/Arts & Entertainment/Music & Audio/Rock Music/Hard Rock & Progressive"""
"13553,""/Arts & Entertainment/Music & Audio/Rock Music/Metal (Music)"""
"13554,""/Arts & Entertainment/Music & Audio/Rock Music/Punk Rock"""
"10589,""/Arts & Entertainment/Music & Audio/Song Lyrics & Tabs"""
"13568,""/Arts & Entertainment/Music & Audio/Songwriters & Composers"""
"13555,""/Arts & Entertainment/Music & Audio/Soundtracks"""
"13556,""/Arts & Entertainment/Music & Audio/Urban & Hip-Hop"""
"13557,""/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Rap & Hip-Hop"""
"13743,""/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Reggaeton"""
"13558,""/Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Soul & R&B"""
"13832,""/Arts & Entertainment/Music & Audio/Vinyl Records"""
"13559,""/Arts & Entertainment/Music & Audio/Vocals & Show Tunes"""
"13560,""/Arts & Entertainment/Music & Audio/World Music"""
"13561,""/Arts & Entertainment/Music & Audio/World Music/African Music"""
"13562,""/Arts & Entertainment/Music & Audio/World Music/Arab & Middle Eastern Music"""
"13563,""/Arts & Entertainment/Music & Audio/World Music/East Asian Music"""
"13564,""/Arts & Entertainment/Music & Audio/World Music/Reggae & Caribbean Music"""
"13565,""/Arts & Entertainment/Music & Audio/World Music/South Asian Music"""
"13566,""/Arts & Entertainment/Offbeat"""
"13567,""/Arts & Entertainment/Offbeat/Edgy & Bizarre"""
"10110,""/Arts & Entertainment/Sports Entertainment"""
"10598,""/Arts & Entertainment/Sports Entertainment/Fantasy Sports"""
"13635,""/Arts & Entertainment/Sports Entertainment/Professional Wrestling"""
"10597,""/Arts & Entertainment/Sports Entertainment/Sport Scores & Statistics"""
"11883,""/Arts & Entertainment/Sports Entertainment/Sports Event Tickets & Ticketing Services"""
"10599,""/Arts & Entertainment/Sports Entertainment/Sports Fan Sites & Blogs"""
"10103,""/Arts & Entertainment/TV & Video"""
